Complete	Category	Game object	Event name	Trigger	Condition/Variant	Context	SFX desc	Variations	Loop	Stop event	VFX/Anim	UI response	Music	Code hook	Signal	Status	Priority	Notes
FALSE	Match	System	match_intro	The two gladiators are on the sand but not yet swinging	Fires once, before start_fighting() is called	The held breath before the fight. Both fighters are posed and idle-bobbing, the crowd is settled, and the player has a beat to read the nameplates and see what their gladiator is wearing. Everything after this is chaos, so this moment should feel deliberately still.	Announcer horn or gate clank, single hit, room for the crowd to swell under it	1	FALSE		Wanted: brief camera settle or gate open; nothing exists today	Nameplates already seeded by BattleNameplate.setup()	music_pre_match plays under it	—	NEW: match_intro_started	planned	P1	No pre-fight beat exists; _ready() starts the fight immediately. Adding this means inserting a wait before start_fighting().
TRUE	Match	System	match_started	Both gladiators begin their attack rhythms	Always, once per match	The fight is on. Both fighters snap out of idle and the first swings land within a second. This is the go signal and it needs to be unmistakable, because the player only has from here until someone dies to feed items in.	Sharp start-of-round hit - gong, whistle or blade-scrape - short so the first swing is not buried	1	FALSE		Existing: units switch from idle_bob into their attack cadence	Nameplates visible and full	music_battle_intro starts here	auto_battle_prototype.gd:_ready	GlobalSignalBus.match_started	implemented	P0	Has its own signal as of the SFX wiring pass. level_started is still emitted alongside it, but level_01.gd:_ready emits that one too, so the fight's go-signal audio hangs off match_started instead.
TRUE	Match	Either Gladiator	match_first_blood	The first damage of the match is dealt	First unit_hurt emission only; suppressed for every hit after	First blood. Mechanically identical to any other hit, but it is the moment the match stops being a staredown. Worth a one-time crowd lift so the opening reads as an escalation rather than a flat loop of swings.	Crowd surge or single stinger layered over the normal hit sound	1	FALSE		Reuse the standard hit flash and shake	First damage number of the match	Optional music intensity step	—	GlobalSignalBus.match_first_blood	implemented	P2	Needs a one-shot latch in the battle controller; unit_hurt fires on every hit.
TRUE	Match	System	match_ended_hero_victory	The enemy gladiator dies and the fight stops	battle_ended(hero_won = true)	The player's gladiator is the one left standing. This lands the instant the enemy hits zero, roughly a second before the victory panel appears, so it is the emotional payoff and the panel is just the paperwork.	Triumphant stinger, crowd roar tail; must sit above the ambient bed	1	FALSE		Existing: loser plays the death animation; winner returns to idle	BattleEndOverlay queued, revealed after death_anim_wait	Cut battle loop, start music_victory	auto_battle_prototype.gd:_on_unit_died	GlobalSignalBus.battle_ended	implemented	P0	battle_ended carries a bool, so SoundEffectConnector can bind it, but one connector cannot tell victory from defeat - it plays on both. Two rows means either a code hook or two argument-aware listeners.
TRUE	Match	System	match_ended_hero_defeat	The hero gladiator dies and the fight stops	battle_ended(hero_won = false)	The player's fighter goes down. They almost certainly saw it coming - the health bar has been draining and they were scrambling for meat - so this should feel like a confirmation of a slow loss, not a jump scare.	Deflating stinger, crowd falls away rather than roars	1	FALSE		Existing: hero plays the death animation	BattleEndOverlay shows the defeat text	Cut battle loop, start music_defeat	auto_battle_prototype.gd:_on_unit_died	GlobalSignalBus.battle_ended	implemented	P0	See the victory row: the same signal covers both outcomes.
TRUE	Match	UI	match_result_revealed	The victory/defeat panel fades in	After BattleEndOverlay.death_anim_wait (0.8s) has elapsed	The panel arrives once the death animation has played out. By now the outcome sound has already told the player what happened, so this is a quieter UI beat that hands control back and points at the restart button.	Soft panel whoosh, deliberately understated	1	FALSE		Existing: OverlayRoot becomes visible	Result label and restart button appear	Result track already playing underneath	battle_end_overlay.gd:_on_battle_ended	GlobalSignalBus.match_result_revealed(hero_won)	implemented	P1	The reveal can be cancelled mid-wait by hide_result() or a scene teardown - do not start a loop here.
TRUE	Match	UI	match_restart_requested	The player presses Restart on the result panel	Always	The player wants another go. The whole scene reloads immediately after, so anything here is cut off almost at once - keep it to a confirmation click.	Standard UI confirm click	1	FALSE		Existing: scene reloads	Overlay disappears with the scene	Stop the result track	battle_end_overlay.gd:_on_restart_pressed	GlobalSignalBus.ui_button_pressed	implemented	P1	reload_current_scene() fires on the same frame; a long sample will be truncated.
TRUE	Combat	Either Gladiator	gladiator_swing_armed	A gladiator starts an attack on a pattern beat	A WeaponDef occupies the RIGHT_HAND slot	A sword swing. The blade is visibly in the fighter's hand and this swing will hit for weapon damage instead of a bare fist, so it should sound heavier and more dangerous than the unarmed version - the player equipped that sword and should hear the difference every time.	Blade whoosh, metallic edge, weighted	3	FALSE		Existing: attack animation restarted from frame 0	—		battle_unit.gd:_fire_beat	GlobalSignalBus.unit_swing(unit, armed, exhausted)	implemented	P0	The moment is implemented but the armed/unarmed split is not exposed: unit_attacked carries no weapon info and roll_attack_damage only runs later at the strike. Needs the beat to query equipment.has_slot(RIGHT_HAND). Also note unit_attacked has two arguments, so SoundEffectConnector cannot bind it as written.
TRUE	Combat	Either Gladiator	gladiator_swing_unarmed	A gladiator starts an attack on a pattern beat	No weapon in RIGHT_HAND (no equipment component, or the sword broke)	A bare-handed swing. This is the default state and also what a fighter falls back to the moment their sword shatters, so it should sound thinner and less capable - the audible reminder that they need a weapon.	Cloth and air, dull, no metal	3	FALSE		Existing: attack animation restarted from frame 0	—		battle_unit.gd:_fire_beat	GlobalSignalBus.unit_swing(unit, armed, exhausted)	implemented	P0	Same split as the armed row. Every enemy is permanently in this state - enemies have no EquipmentComponent by design.
TRUE	Combat	Either Gladiator	gladiator_swing_exhausted	A gladiator swings while out of stamina	stamina_component.has_stamina() is false, so _speed_scale() returns 0.5	A tired swing. The whole attack rhythm is running at half speed and the fighter is visibly slower, so this variant should sound laboured - the cue that a stamina potion is overdue.	Slower, breathier version of the normal swing, with an effort grunt	2	FALSE		Existing: the entire pattern playhead runs at half rate	Stamina bar is empty on the nameplate		battle_unit.gd:_fire_beat	GlobalSignalBus.unit_swing(unit, armed, exhausted)	implemented	P1	Layer or substitute against the armed/unarmed swing rather than adding a third exclusive sound.
TRUE	Combat	Either Gladiator	gladiator_strike_lands	The attack animation reaches its lunge apex and applies damage	Attacker and target both still alive at the apex	The connection itself, about a quarter second after the swing starts. This is the impact frame the whole animation builds to, and it is where the impact sound belongs - the swing sound sold the wind-up, this sells the hit.	Impact transient; the hit-specific rows below layer on top	1	FALSE		Existing: target flashes white and shakes	Damage number spawns above the target		battle_unit.gd:_on_attack_strike	GlobalSignalBus.unit_strike_landed(attacker, target, armed)	implemented	P0	Called by the attack animation's method track, not by code - see the AnimationPlayer 'attack' track. Fires before take_damage, so the armored/unarmored variant is not yet known here.
TRUE	Combat	Either Gladiator	gladiator_swing_whiffs	A swing reaches its strike frame with nothing left to hit	Target already dead (or null) when _on_attack_strike runs	The fighter follows through on a swing at an opponent who is already down. Rare, and it happens on the final blow of a match, so it should read as a wasted effort rather than an error.	Swing tail with no impact - the absence of the hit is the point	1	FALSE		Existing: animation plays out fully with no damage applied	No damage number		battle_unit.gd:_on_attack_strike	GlobalSignalBus.unit_strike_whiffed(attacker)	implemented	P2	Currently a silent early-return. Mostly visible at match end when both fighters have swings in flight.
TRUE	Combat	Either Gladiator	gladiator_hit_unarmored	A gladiator takes damage with nothing to soak it	No EquipmentComponent, or no armor pieces equipped - full damage lands	Bare flesh and bone. The gladiator has no helmet or breastplate and the blow lands on them directly. This should sting, and it must read as clearly worse than the armored version so the player feels the cost of leaving their fighter bare.	Wet, fleshy thud with a body reaction; the most painful hit in the set	4	FALSE		Existing: white flash (0.08s) and a four-step shake	Damage number, nameplate health bar drops		battle_unit.gd:take_damage	GlobalSignalBus.unit_damage_resolved(unit, amount, armored)	implemented	P0	Both enemies are always in this state. unit_hurt carries two arguments, so SoundEffectConnector cannot bind it directly.
TRUE	Combat	Either Gladiator	gladiator_hit_armored	A gladiator takes damage that armor partially soaks	At least one ArmorDef equipped and the mitigated amount is still above zero	The blow gets through, but not all of it. The armor is doing its job and quietly wearing down for it. This should sit between the bare hit and the fully-blocked one, so the player can hear their armor working without being told it saved them completely.	Metal-over-body: a clang with a soft impact under it	4	FALSE		Existing: white flash and shake, same as unarmored	Reduced damage number, health bar drops less		battle_unit.gd:take_damage	GlobalSignalBus.unit_damage_resolved(unit, amount, armored)	implemented	P0	Mitigated damage is what every listener receives, so the damage number already tells the truth. Exactly one random armor piece takes 1 wear on this hit - see equipment_armor_wear.
TRUE	Combat	Either Gladiator	gladiator_hit_fully_absorbed	A gladiator takes a hit that armor cancels entirely	Mitigated damage clamps to 0	The armor ate the whole blow. A 0 still floats up and the fighter still flinches, so this is the sound of a hit that did not hurt - satisfying, dull, no pain. It also means a durability point just burned, so it should carry a hint of wear.	Solid deadened clang, no flesh, slight scrape of wear underneath	3	FALSE		Existing: still flashes and shakes - deliberate honest feedback	A literal 0 damage number, health bar unchanged		battle_unit.gd:take_damage	GlobalSignalBus.unit_damage_resolved(unit, amount, armored)	implemented	P1	The code comment at take_damage explains the intent: a fully absorbed hit still shows a 0 so the player knows the armor ate it and wore down for it.
TRUE	Combat	Either Gladiator	gladiator_hit_by_sword	The incoming blow came from a weapon	Attacker had a WeaponDef equipped when the strike landed	Attacker-side flavour on the impact. A sword hit and a fist hit should not sound the same on the receiving end either - this is the layer that says what hit you, while the armored/unarmored rows say what it hit.	Edged component layered onto the base impact	2	FALSE		Reuse the standard flash and shake	—		battle_unit.gd:_on_attack_strike	GlobalSignalBus.unit_strike_landed — armed=true	implemented	P2	Layer, do not replace. The receiving side currently has no idea what struck it.
TRUE	Combat	Either Gladiator	gladiator_hit_by_fist	The incoming blow came from a bare hand	Attacker had no weapon equipped	The unarmed counterpart of the row above. Should sound noticeably weaker so a player watching an enemy punch their armored gladiator understands they are in no danger.	Blunt low thump layered onto the base impact	2	FALSE		Reuse the standard flash and shake	—		battle_unit.gd:_on_attack_strike	GlobalSignalBus.unit_strike_landed — armed=false	implemented	P2	Layer, do not replace.
TRUE	Combat	Either Gladiator	gladiator_health_low	A gladiator's health crosses a low threshold	Health falls below a set fraction of max; fires once per crossing	The fighter is in real danger. For the hero this is the cue to spend meat right now; for the enemy it is the cue that the match is nearly won. It must be readable without looking at the nameplate, because the player's eyes are on the item pile.	Heartbeat or strained breath; consider a slow loop rather than a one-shot	1	FALSE		Wanted: red vignette or a persistent tint on the fighter	Health bar could pulse	Optional music intensity step	battle_unit.gd:_on_health_changed	GlobalSignalBus.unit_health_low(unit)	implemented	P1	Must latch, or it re-fires on every subsequent hit. Decide whether it re-arms when health is healed back above the threshold.
TRUE	Combat	Hero Gladiator	gladiator_died_hero	The hero gladiator's health reaches zero	HealthComponent.died on the hero	The player's fighter collapses. The death animation rotates and fades the sprite over the next moment, and the defeat panel is already on a timer. This is the loss, felt at the body rather than in the UI.	Body fall with a final breath; heavier than the enemy version	1	FALSE		Existing: 'death' animation - sprite rotates and self_modulate fades	Health bar reads 0/max	Battle music cuts here	battle_unit.gd:_on_died	GlobalSignalBus.hero_gladiator_died	implemented	P0	unit_died carries the unit node; a listener needs the side to distinguish this from the enemy row.
TRUE	Combat	Enemy Gladiator	gladiator_died_enemy	The enemy gladiator's health reaches zero	HealthComponent.died on the enemy	The opponent goes down and the player has won. Same animation as the hero's death but the framing is opposite - this one should feel earned rather than mourned.	Body fall with a defeated cry	1	FALSE		Existing: 'death' animation	Health bar reads 0/max	Battle music cuts here	battle_unit.gd:_on_died	GlobalSignalBus.enemy_gladiator_died	implemented	P0	Fires immediately before battle_ended - order the two so the death lands first.
TRUE	Combat	Either Gladiator	gladiator_healed	A healing item is used on a gladiator	HealEffect.apply raises current health	Meat goes in and the health bar jumps back up. The player just spent a scarce item and dragged it across the arena to do this, so the payoff needs to be immediate and clearly good.	Warm restorative swell with an eating or gulping element	2	FALSE		Wanted: green flash or rising particles; nothing exists today	Health bar rises, nameplate numbers update		items/effects/heal_effect.gd:apply	GlobalSignalBus.unit_healed(unit, amount)	implemented	P0	The heal itself works; there is no signal announcing it. HealthComponent.health_changed fires but cannot distinguish healing from damage.
TRUE	Combat	Either Gladiator	gladiator_heal_wasted	A healing item is used on a gladiator already at full health	current_health clamps at max, so nothing changes	The player just burned an item for nothing. Better to tell them than to let the item silently vanish - a small negative cue teaches them to hold the meat until it matters.	Soft dull reject, clearly not the healing sound	1	FALSE		—	Health bar visibly does not move		items/effects/heal_effect.gd:apply	GlobalSignalBus.unit_heal_wasted(unit)	implemented	P2	The clamp lives in HealthComponent.current_health's setter; detecting waste means comparing before and after.
TRUE	Combat	Either Gladiator	gladiator_stamina_spent	A gladiator pays stamina for an attack	Every beat, before the swing animation starts	The steady drain that runs under every fight. On its own it is far too frequent to sound - this row exists so the stamina bar movement is catalogued, and so a designer can decide it stays silent.	Probably none; the bar movement carries it	0	FALSE		—	Stamina bar ticks down on the nameplate		battle_unit.gd:_fire_beat	GlobalSignalBus.hero_gladiator_stamina_changed / enemy_gladiator_stamina_changed	implemented	P2	Fires on every single beat of the match. Do not attach a one-shot here without deciding it is not fatiguing.
TRUE	Combat	Either Gladiator	gladiator_stamina_depleted	A gladiator's stamina reaches zero	has_stamina() flips false; the attack rhythm immediately halves	The fighter is spent. Their whole attack pattern stretches to half speed from this instant, which is a large mechanical swing the player must notice - if they miss it they will not know to feed a potion.	Gasping exhale, sagging tone; a clear state-change sound	1	FALSE		Wanted: slumped posture or sweat particles	Stamina bar hits empty		battle_unit.gd:_speed_scale	GlobalSignalBus.unit_stamina_depleted(unit)	implemented	P0	_speed_scale is polled per frame and emits nothing; the crossing needs latching in StaminaComponent so it fires once, not every frame.
TRUE	Combat	Either Gladiator	gladiator_exhausted_loop	Sustained bed while a gladiator is out of stamina	Runs for as long as has_stamina() is false	The ongoing state, not the moment it began. Heavy breathing under the fight that keeps quietly telling the player their gladiator is struggling until they fix it.	Looping laboured breathing, low in the mix	1	TRUE	gladiator_stamina_recovered	—	Empty stamina bar for the duration		battle_unit.gd:_speed_scale	GlobalSignalBus.unit_stamina_depleted / unit_stamina_recovered	implemented	P2	Needs both edges of the crossing to start and stop cleanly; a unit can die while exhausted, so death must also stop this.
TRUE	Combat	Either Gladiator	gladiator_stamina_restored	A stamina item is used on a gladiator	StaminaRestoreEffect.apply raises current stamina	A potion goes in and the stamina bar refills. Distinct from the health item because the payoff is a change in fight tempo rather than survival - the player should hear the drink and then see the swings speed up.	Fizzing or gulping restore with an upward lift	2	FALSE		Wanted: blue flash or bubbles	Stamina bar rises on the nameplate		items/effects/stamina_restore_effect.gd:apply	GlobalSignalBus.unit_stamina_restored(unit, amount)	implemented	P0	Fires whether or not the fighter was actually exhausted.
TRUE	Combat	Either Gladiator	gladiator_stamina_recovered	A gladiator that was out of stamina has some again	has_stamina() flips back to true after being false	The fighter gets their wind back and the attack rhythm snaps to full speed. This is the reward beat for the potion the player just spent, and it is what stops the exhausted breathing loop.	Relieved breath and a recovery lift; also the stop cue for the exhausted loop	1	FALSE		Wanted: posture straightens	Stamina bar leaves empty		prototypes/stamina_component.gd:restore	GlobalSignalBus.unit_stamina_recovered(unit)	implemented	P1	Only fires on the false-to-true crossing - a top-up on a fighter who still had stamina is gladiator_stamina_restored, not this.
TRUE	Equipment	Hero Gladiator	equipment_equipped_weapon	A weapon item is dropped on a gladiator and worn	The item's EquipmentDef is a WeaponDef, RIGHT_HAND slot	The player just armed their gladiator. The sword appears in the fighter's hand on the rig and every future swing hits for weapon damage. This is one of the most consequential things the player can do and should feel like a genuine upgrade.	Sword draw and grip, confident metallic ring	2	FALSE		Existing: EquipmentRigSync sets sword_equipped on the rig	The dragged item disappears from the world		items/equipment/equipment_component.gd:equip	GlobalSignalBus.unit_equipped(unit, slot, item_def, replaced)	implemented	P0	changed(slot) carries only the slot, not the kind - a listener must inspect the piece to tell weapon from armor. Only the hero has an EquipmentComponent.
TRUE	Equipment	Hero Gladiator	equipment_equipped_armor	An armor item is dropped on a gladiator and worn	The item's EquipmentDef is an ArmorDef, e.g. the helmet in the HEAD slot	The player just protected their gladiator. Incoming hits will now be soaked and the hit sound changes from flesh to metal, so this needs to sound protective and settled - a buckle, not a blade.	Leather and metal buckling on, settling weight	2	FALSE		Existing: EquipmentRigSync sets helmet_equipped on the rig	The dragged item disappears from the world		items/equipment/equipment_component.gd:equip	GlobalSignalBus.unit_equipped(unit, slot, item_def, replaced)	implemented	P0	CHEST and LEFT_HAND slots exist in the enum but have no art or defs yet.
TRUE	Equipment	Hero Gladiator	equipment_swapped	A new piece is equipped into an already-occupied slot	equip() returns a non-null previous piece	Fresh gear replaces worn gear mid-fight. The old piece is not destroyed - it pops back out into the pile with its remaining durability intact - so this should read as a trade rather than a loss.	Layer a quick unbuckle or sheath under the equip sound	1	FALSE		Existing: rig toggles stay on; the slot's contents change	—		items/equipment/equipment_component.gd:equip	GlobalSignalBus.unit_equipped — replaced=true	implemented	P1	Pairs with equipment_displaced_piece_popped, which fires on the same frame - do not double up two loud sounds.
TRUE	Equipment	Item	equipment_displaced_piece_popped	The replaced piece is thrown back into the arena	Only when a swap displaced something	The old sword or helmet is lobbed up out of the gladiator's hands and tumbles back into the pile, still carrying its scars. The player can pick it up again, so it needs to visibly and audibly land rather than just appear.	Light gear toss; the landing is covered by item_landed	1	FALSE		Existing: item spawns above the unit with upward velocity and spin	Durability pie on the popped piece reflects its remaining wear		items/item.gd:_spawn_unequipped	GlobalSignalBus.equipment_piece_popped(item)	implemented	P1	Spawned into the item container, so it obeys the normal despawn timer from that moment.
TRUE	Equipment	Hero Gladiator	equipment_weapon_wear	An equipped weapon loses a durability point	Every landed strike costs the weapon exactly 1	The sword chips a little on every hit it lands. Individually trivial and far too frequent for a dedicated sound, but the wear is what makes weapons temporary, so it should be audible as texture inside the impact rather than as its own event.	Fold into the sword impact rather than adding a separate sample	0	FALSE		—	Durability pie shrinks (visible only while hovered or dragged)		items/equipment/equipment_component.gd:_wear	—	implemented	P2	Damage is read before wear is charged, so the strike that empties a weapon still lands at full weapon damage.
TRUE	Equipment	Hero Gladiator	equipment_armor_wear	An equipped armor piece loses a durability point	One randomly chosen equipped armor piece per incoming hit	Armor grinds down as it absorbs. Like weapon wear this is constant and belongs inside the hit sound as a scrape, not as its own cue - but it is why armor is a consumable and not a permanent upgrade.	Fold a scrape into the armored hit sounds	0	FALSE		—	Durability pie shrinks		items/equipment/equipment_component.gd:absorb_hit	—	implemented	P2	Every equipped armor piece contributes its full value to mitigation, but only one random piece takes the wear.
TRUE	Equipment	Hero Gladiator	equipment_nearly_broken	An equipped piece drops to its last durability point	durability reaches 1 after a wear tick	One more hit and this piece is gone. The player has a short window to swap in a replacement, and the durability pie is only visible on hover, so audio is the only way they find out in time.	Stressed creak or crack; ominous, not alarming	1	FALSE		Wanted: the equipped piece could flash on the rig	Durability pie is nearly all red		items/equipment/equipment_component.gd:_wear	GlobalSignalBus.unit_equipment_nearly_broken(unit, slot, item_def)	implemented	P1	The pie is hidden unless the item is hovered or dragged - see Item.set_durability_shown - which is exactly why this needs a sound.
TRUE	Equipment	Hero Gladiator	equipment_broke_weapon	An equipped weapon's durability runs out and it is destroyed	broken(slot, item_def) for a WeaponDef	The sword shatters mid-fight and simply vanishes from the gladiator's hand. The player's next swing will be a bare fist doing less damage. This is a small disaster and needs to cut through the crowd bed so it is never missed.	Sharp metal snap and shards; the most attention-grabbing gear sound	2	FALSE		Existing: EquipmentRigSync clears sword_equipped - the sword disappears	—	Optional stinger	items/equipment/equipment_component.gd:_wear	EquipmentComponent.broken / GlobalSignalBus.unit_equipment_broke	implemented	P0	Broken gear vanishes entirely - there is no world drop. broken and changed both fire; wire audio to broken only.
